CountryName,CountryCode,Year,GDP per capita (constant LCU),GDP per capita growth (annual %),"Life expectancy at birth, total (years)",PM2.5 level
Ukraine,UKR,2017,57470.49,2.811,71.78,14.87
Ukraine,UKR,2018,59778.73,4.016,71.58,16.28
Ukraine,UKR,2019,62046.57,3.794,71.83,14.75
Ukraine,UKR,2020,60122.09,-3.102,71.19,14.14
United Kingdom,GBR,2000,25473.9,3.947,77.74,15.76
United Kingdom,GBR,2001,26030.4,2.185,77.99,13.94
United Kingdom,GBR,2002,26384.93,1.362,78.14,14.42
United Kingdom,GBR,2003,27088.72,2.667,78.45,17
United Kingdom,GBR,2004,27588.61,1.845,78.75,13.72
United Kingdom,GBR,2005,28150.27,2.036,79.05,14.17
United Kingdom,GBR,2006,28610.94,1.636,79.25,14.22
United Kingdom,GBR,2007,29132.91,1.824,79.45,13.92
United Kingdom,GBR,2008,28839.28,-1.008,79.6,13.48
United Kingdom,GBR,2009,27301.07,-5.334,80.05,12.54
United Kingdom,GBR,2010,27694.31,1.44,80.4,12.21
United Kingdom,GBR,2011,27793.38,0.358,80.95,12.75
United Kingdom,GBR,2012,28018.37,0.81,80.9,11.26
United Kingdom,GBR,2013,28330.17,1.113,81,11.16
United Kingdom,GBR,2014,29021.03,2.439,81.3,10.59
United Kingdom,GBR,2015,29431.24,1.413,80.96,10.25
United Kingdom,GBR,2016,29770.15,1.152,81.16,9.83
United Kingdom,GBR,2017,30353.66,1.96,81.26,10.18
United Kingdom,GBR,2018,30593.82,0.791,81.26,10.04
United Kingdom,GBR,2019,30921.12,1.07,81.4,9.75
United Kingdom,GBR,2020,27616.53,-10.687,80.35,9.71
